Modelo,MAE,RMSE,R²,MAPE (%)
Ridge Regression,0.017331478426929173,0.03449356328224014,0.9913755892812802,0.3770779296159681
SARIMAX,0.1369520119359371,0.18224193417209145,0.7592590657117794,3.023942434740873
Random Forest,0.08757629310759346,0.20981574841937684,0.680898037897673,1.7086871410679612
XGBoost,0.0920803331837212,0.21761509976939175,0.6567335465832345,1.7976943131198166
